Addr,Score
"
서울 동작구 만양로2길 2
(지번) 상도동 17-61
",3.2
"
서울 동작구 상도로50길 2-15
(지번) 상도1동 244-1
",3.0
"
서울 동작구 상도로31길 19 브라운스톤상가 B207호
(지번) 상도동 527
",3.1
"
서울 동작구 상도로34길 32 동화하우스 1층
(지번) 상도동 156-20
",4.8
"
서울 동작구 양녕로 286-1
(지번) 상도1동 642-1
",3.7
"
서울 동작구 상도로 230 4층
(지번) 상도동 29-87
",3.1
"
서울 동작구 장승배기로 118-1
(지번) 노량진동 309-18
",4.1
"
서울 동작구 상도로 357 1층
(지번) 상도동 488
",3.4
"
서울 동작구 양녕로 282-1 1층
(지번) 상도1동 638-2
",3.4
"
서울 동작구 상도로 321
(지번) 상도동 463
",3.8
"
서울 동작구 만양로14길 9
(지번) 노량진동 119-150
",4.0
"
서울 동작구 만양로16길 4 1층
(지번) 노량진동 119-159
",3.4
"
서울 동작구 상도로31길 83 1층
(지번) 상도동 22-86
",4.2
"
서울 동작구 상도로 313 1층
(지번) 상도1동 262
",4.0
"
서울 동작구 상도로 293
(지번) 상도1동 793-1
",4.6
"
서울 동작구 상도로 263-6
(지번) 상도1동 698
",3.4
"
서울 동작구 상도로37길 7
(지번) 상도1동 668
",3.5
"
서울 동작구 양녕로 277 2층
(지번) 상도1동 624
",5.0
"
서울 동작구 상도로26길 19
(지번) 상도동 367-6
",4.4
"
서울 동작구 만양로14길 40
(지번) 노량진동 206-19
",4.4
"
서울 동작구 상도로 319
(지번) 상도1동 258-3
",4.1
"
서울 동작구 상도로41마길 1
(지번) 상도1동 639-5
",1.8
"
서울 동작구 상도로 279 1층
(지번) 상도1동 775-1
",3.0
"
서울 동작구 상도로 295 1층
(지번) 상도1동 390
",2.8
"
서울 동작구 상도로37길 62 1층
(지번) 상도동 467-2
",4.1
"
서울 동작구 상도로 317
(지번) 상도1동 260
",2.6
"
서울 동작구 상도로 266 1층
(지번) 상도1동 705
",3.0
"
서울 동작구 장승배기로 123-1
(지번) 노량진동 308-18
",3.8
"
서울 동작구 상도로62길 45
(지번) 상도동 490
",4.7
"
서울 동작구 만양로 90 2층
(지번) 노량진1동 119-178
",4.2
"
서울 동작구 상도로 263-6
(지번) 상도1동 698
",3.4
"
서울 동작구 상도로37길 7
(지번) 상도1동 668
",3.5
"
서울 동작구 양녕로 277 2층
(지번) 상도1동 624
",5.0
"
서울 동작구 상도로26길 19
(지번) 상도동 367-6
",4.4
"
서울 동작구 만양로14길 40
(지번) 노량진동 206-19
",4.4
"
서울 동작구 상도로 319
(지번) 상도1동 258-3
",4.1
"
서울 동작구 상도로41마길 1
(지번) 상도1동 639-5
",1.8
"
서울 동작구 상도로 279 1층
(지번) 상도1동 775-1
",3.0
"
서울 동작구 상도로 295 1층
(지번) 상도1동 390
",2.8
"
서울 동작구 상도로37길 62 1층
(지번) 상도동 467-2
",4.1
"
서울 동작구 상도로 317
(지번) 상도1동 260
",2.6
"
서울 동작구 상도로 266 1층
(지번) 상도1동 705
",3.0
"
서울 동작구 장승배기로 123-1
(지번) 노량진동 308-18
",3.8
