title,location,estimation,viewCount,reviewCount,foodType,price,runTime,geo_1,geo_2,geo_3,geo,위도,경도
미라이,서울시 강남구 신사동 557-25 끌레르빌 1F,4.8,526248.0,131.0,이자카야 / 오뎅 / 꼬치,3만원-4만원,18:00 - 01:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
상진식감,서울시 강남구 신사동 518-15 B1,4.8,37905.0,48.0,까스 요리,만원-2만원,11:30 - 21:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
"패티앤베지스
                                    (신사)",서울시 강남구 신사동 525-2 1F,4.7,63134.0,91.0,브런치 / 버거 / 샌드위치,만원-2만원,11:30 - 22:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
삐아프,서울시 강남구 신사동 525-9 1F,4.7,173210.0,86.0,카페 / 디저트,만원-2만원,12:30 - 19:30,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
와라야키 쿠이신보,서울시 강남구 신사동 539 대화빌딩,4.6,463574.0,133.0,이자카야 / 오뎅 / 꼬치,2만원-3만원,월-목: 17:30 - 01:00 금-토: 17:30 - 02:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
Sogak,서울시 강남구 신사동 507-7 1F,4.6,36481.0,51.0,정통 중식 / 일반 중식,2만원-3만원,11:30 - 21:50,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
인딕 슬로우,서울시 강남구 신사동 525-4 1F,4.6,167504.0,80.0,인도 음식,만원-2만원,11:30 - 21:30,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
"신비갈비살
                                    (본점)",서울시 강남구 신사동 508-9 1F,4.6,95564.0,32.0,고기 요리,3만원-4만원,월-금: 17:00 - 22:00 토: 17:00 - 21:30,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
무아,서울시 강남구 신사동 561-21 2F,4.6,20228.0,12.0,퓨전 일식,4만원 이상,18:00 - 22:30,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
스와니예,서울시 강남구 신사동 504-11 스튜디오소,4.5,143790.0,91.0,퓨전 양식,4만원 이상,12:00 - 22:30,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
콴안다오,서울시 강남구 신사동 516-2 1F,4.5,288268.0,228.0,베트남 음식,만원-2만원,11:00 - 22:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
칙피스,서울시 강남구 신사동 540-18,4.5,159775.0,190.0,세계음식 기타,만원-2만원,11:30 - 22:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
"매덕스피자
                                    (신사점)",서울시 강남구 신사동 541-11 1F,4.5,111796.0,84.0,기타 양식,만원-2만원,12:00 - 22:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
"야키토리묵
                                    (신사점)",서울시 강남구 신사동 512-11 B1,4.5,25867.0,20.0,이자카야 / 오뎅 / 꼬치,3만원-4만원,17:00 - 01:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
계인전 보타니카,서울시 강남구 신사동 526-3 1F,4.5,2267.0,11.0,브런치 / 버거 / 샌드위치,만원-2만원,,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
정돈 프리미엄,서울시 강남구 신사동 519-4,4.4,186404.0,230.0,까스 요리,2만원-3만원,11:30 - 22:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
"길버트버거앤프라이즈
                                    (가로수길점)",서울시 강남구 신사동 545-3 B1,4.4,272089.0,305.0,브런치 / 버거 / 샌드위치,만원-2만원,11:30 - 22:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
새들러하우스,서울시 강남구 신사동 561-8 B1,4.4,76296.0,119.0,카페 / 디저트,만원 미만,11:00 - 22:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
"테일러커피
                                    (신사점)",서울시 강남구 신사동 521-17 1F,4.4,60747.0,104.0,카페 / 디저트,만원 미만,10:00 - 23:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
효계,서울시 강남구 신사동 541-6 1F,4.4,60350.0,23.0,닭 / 오리 요리,2만원-3만원,월-토: 17:00 - 01:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
"돈불리제담
                                    (가로수길점)",서울시 강남구 신사동 510-11 강남상가 1F,4.4,46031.0,24.0,고기 요리,만원-2만원,11:30 - 22:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
핫쵸,서울시 강남구 신사동 544-5 B1,4.4,25035.0,26.0,정통 일식 / 일반 일식,만원-2만원,11:30 - 22:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
"청우참치
                                    (신사본점)",서울시 강남구 신사동 511-6,4.4,55281.0,22.0,회 / 스시,4만원 이상,17:00 - 23:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
신사치킨클럽 (휴업중),서울시 강남구 신사동 520-1 1F,4.4,31813.0,17.0,다국적 아시아 음식,만원-2만원,12:00 - 21:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
히바치,서울시 강남구 신사동 540-19 2F,4.4,4669.0,8.0,회 / 스시,3만원-4만원,17:00 - 02:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
삼창교자,서울시 강남구 신사동 517-34 1F,4.3,89141.0,111.0,딤섬 / 만두,만원 미만,11:30 - 22:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
마일스톤커피,서울시 강남구 신사동 554-4,4.3,85216.0,115.0,카페 / 디저트,만원 미만,10:00 - 21:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
일무레또,서울시 강남구 신사동 556-12,4.3,81932.0,35.0,이탈리안,2만원-3만원,월: 17:30 - 22:00 화-금: 17:30 - 24:00 토: 11:30 - 24:00 일: 11:30 - 22:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
스시오마주,서울시 강남구 신사동 540-19 B1 102호,4.3,14321.0,18.0,회 / 스시,4만원 이상,12:00 - 22:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
"양식당더램키친
                                    (2호점)",서울시 강남구 신사동 529-6,4.3,137204.0,68.0,고기 요리,3만원-4만원,월-금: 18:00 - 24:00 토-일: 18:00 - 23:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
컨플릭트 스토어,서울시 강남구 신사동 543,4.3,49439.0,59.0,카페 / 디저트,만원 미만,,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
관계,서울시 강남구 신사동 556-29,4.3,46631.0,31.0,고기 요리,2만원-3만원,토-목: 18:00 - 02:00 금: 18:00 - 03:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
맥파이앤타이거 신사티룸,서울시 강남구 신사동 555-12 클레어스서울 2F,4.3,11858.0,9.0,카페 / 디저트,만원-2만원,수-일: 13:00 - 20:30,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
우니도,서울시 강남구 신사동 522 1F,4.3,9912.0,14.0,돈부리 / 일본 카레 / 벤토,만원-2만원,11:30 - 21:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
오라방,서울시 강남구 신사동 544-26,4.3,34629.0,16.0,한정식 / 백반 / 정통 한식,2만원-3만원,18:00 - 02:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
획,서울시 강남구 신사동 517-10,4.3,11626.0,8.0,칵테일 / 와인,2만원-3만원,화-토: 17:00 - 23:00 일: 17:00 - 22:30,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
유희,서울시 강남구 신사동 518-14 B1,4.3,3819.0,8.0,칵테일 / 와인,2만원-3만원,,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
리커테이션,서울시 강남구 신사동 532-4 마사빌딩 B1,4.3,14242.0,14.0,칵테일 / 와인,만원-2만원,18:00 - 02:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
온다,서울시 강남구 신사동 517-31 1-2F,4.3,8831.0,7.0,이탈리안,만원-2만원,11:30 - 22:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
미미면가,서울시 강남구 신사동 521-16,4.2,244974.0,343.0,라멘 / 소바 / 우동,만원-2만원,11:30 - 21:30,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
"오리지널팬케이크하우스
                                    (가로수길점)",서울시 강남구 신사동 523-20 동원빌딩 1F,4.2,355734.0,347.0,브런치 / 버거 / 샌드위치,만원-2만원,월-금: 09:00-21:00 토-일: 08:00-21:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
SOOT (휴업중),서울시 강남구 신사동 561-35,4.2,197362.0,66.0,퓨전 양식,2만원-3만원,17:00 - 23:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
쇼토,서울시 강남구 신사동 550-14 1F,4.2,60235.0,95.0,베이커리,만원 미만,12:00 - 21:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
오르비에토,서울시 강남구 신사동 559-30 103호,4.2,40468.0,32.0,이탈리안,만원-2만원,11:30 - 22:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
크라운돼지,서울시 강남구 신사동 510-9,4.2,24056.0,31.0,고기 요리,2만원-3만원,월-토: 17:00 - 24:00 일: 17:00 - 22:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
티이,서울시 강남구 신사동 521 1F,4.2,1008.0,5.0,카페 / 디저트,만원 미만,,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
램브라튼,서울시 강남구 신사동 524-28 1F,4.2,88357.0,53.0,스테이크 / 바베큐,4만원 이상,17:30 - 22:30,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
코이에,서울시 강남구 신사동 560-1 B1,4.2,46585.0,21.0,정통 일식 / 일반 일식,3만원-4만원,18:00 - 24:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
신사전,서울시 강남구 신사동 536-3,4.2,26681.0,20.0,한정식 / 백반 / 정통 한식,2만원-3만원,11:00 - 01:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
쮸즈,서울시 강남구 신사동 540-4,4.1,430370.0,479.0,딤섬 / 만두,만원 미만,11:30 - 21:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
소나,서울시 강남구 신사동 520-1 2F 201호,4.1,209965.0,198.0,카페 / 디저트,만원-2만원,12:30 - 22:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
비파티세리,서울시 강남구 신사동 546-17,4.1,81438.0,132.0,베이커리,만원 미만,10:00 - 22:00,서울특별시,강남구,신사동,서울특별시 강남구 신사동,37.523807,127.026492
