estimation,reviewCount,위도,경도
4.8,110.0,37.524399,127.050457
4.8,131.0,37.523807,127.026492
4.8,75.0,37.523807,127.026492
4.8,36.0,37.517302,127.104967
4.8,21.0,37.547431,126.922946
4.8,41.0,37.512792,127.053085
4.8,58.0,37.501711,127.057851
4.8,39.0,37.553838,126.918765
4.8,51.0,37.55845,126.977464
4.8,73.0,37.568174,126.976805
4.8,56.0,37.537541,127.005165
4.8,46.0,37.523807,127.026492
4.8,49.0,37.5367,126.992151
4.8,35.0,37.547431,126.922946
4.8,41.0,37.580141,126.970127
4.8,47.0,37.571886,126.980676
4.8,35.0,37.571886,126.980676
4.8,23.0,37.541123,127.056125
4.8,31.0,37.608442,127.008288
4.7,88.0,37.513093,127.031353
4.7,193.0,37.553838,126.918765
4.7,223.0,37.502816,127.010493
4.7,55.0,37.580122,126.981424
4.7,90.0,37.523807,127.026492
4.7,18.0,37.531715,126.970242
4.7,110.0,37.531715,126.970242
4.7,83.0,37.553838,126.918765
4.7,55.0,37.548092,126.954994
4.7,81.0,37.572558,126.988732
4.7,108.0,37.55991,127.00256
4.7,86.0,37.523807,127.026492
4.7,70.0,37.523807,127.026492
4.7,28.0,37.544184,126.98511
4.7,17.0,37.524399,127.050457
4.7,72.0,37.563027,126.921519
4.7,61.0,37.541123,127.056125
4.7,43.0,37.563027,126.921519
4.7,30.0,37.488514,127.016222
4.7,67.0,37.563027,126.921519
4.7,33.0,37.540788,127.020624
4.7,66.0,37.513093,127.031353
4.7,43.0,37.534384,126.973765
4.7,79.0,37.54325,127.073393
4.7,30.0,37.50273,127.102497
4.7,24.0,37.523807,127.026492
4.7,31.0,37.597248,126.992899
4.7,8.0,37.513093,127.031353
4.7,39.0,37.563027,126.921519
4.7,13.0,37.570748,126.87984
4.7,67.0,37.483974,126.974999
4.7,16.0,37.577668,126.980593
4.7,45.0,37.542865,126.973353
4.7,27.0,37.563027,126.921519
4.7,13.0,37.537541,127.005165
4.7,28.0,37.547027,126.909029
4.7,16.0,37.531715,126.970242
4.7,25.0,37.541123,127.056125
4.7,37.0,37.570618,126.998135
4.7,20.0,37.547027,126.909029
4.7,18.0,37.571987,126.932812
4.7,8.0,37.524399,127.050457
4.7,6.0,37.551535,126.974137
4.6,157.0,37.524399,127.050457
4.6,334.0,37.513093,127.031353
4.6,107.0,37.557439,126.980748
4.6,97.0,37.513093,127.031353
4.6,85.0,37.537541,127.005165
4.6,182.0,37.488514,127.016222
4.6,75.0,37.570479,126.980434
4.6,62.0,37.502816,127.010493
4.6,189.0,37.537541,127.005165
4.6,152.0,37.523807,127.026492
4.6,133.0,37.523807,127.026492
4.6,149.0,37.501711,127.057851
4.6,69.0,37.523807,127.026492
4.6,278.0,37.500335,127.037596
4.6,47.0,37.577076,126.968848
4.6,129.0,37.547027,126.909029
4.6,170.0,37.556408,126.967319
4.6,97.0,37.524399,127.050457
4.6,108.0,37.551535,126.974137
4.6,115.0,37.523807,127.026492
4.6,51.0,37.482717,126.949951
4.6,197.0,37.570618,126.998135
4.6,125.0,37.523807,127.026492
4.6,111.0,37.506058,127.111216
4.6,96.0,37.597248,126.992899
